Date,Song Title,Artist,Album,Duration
2025-03-08,BAILE INoLVIDABLE,Bad Bunny,Bad Bunny,6:07
2025-03-08,OTRO SISTEMA,Lil Naay,Lil Naay,2:24
2025-03-08,VeLDÁ,Bad Bunny,Bad Bunny,3:55
2025-03-08,sobelove,Beéle,Beéle,2:11
2025-03-08,DtMF,Bad Bunny,Bad Bunny,3:57
2025-03-08,Mi Refe,Beéle,Beéle,2:39
2025-03-08,PPC,ROA,ROA,4:00
2025-03-08,Pa Tripea (feat. Huan62),Lil Naay,Lil Naay,2:13
2025-03-08,L NAMA,Huan62,Huan62,2:13
2025-03-08,La Plena (W Sound 05),W Sound,W Sound,2:30
2025-03-08,PANTI,Amenazzy,Amenazzy,2:47
2025-03-08,Not Like Us,Kendrick Lamar,Kendrick Lamar,4:34
2025-03-08,Tamboreo,Donaty,Donaty,1:52
2025-03-08,ETA (feat. Yan Block & Omar Courtz) [RMX],ROA,ROA,7:42
2025-03-08,FANTASÍA,ROA,ROA,3:06
2025-03-08,Natural,Little Homie,Little Homie,2:33
2025-03-08,A 200 (feat. Little Homie),Keyviem,Keyviem,4:06
2025-03-08,De Regalo,Shadow Blow,Shadow Blow,2:02
2025-03-08,Qué Pasaría...,Rauw Alejandro,Rauw Alejandro,3:11
2025-03-08,capaz (merengueton),Alleh,Alleh,2:53
2025-03-08,Glizzy Zaza,Huan62,Huan62,2:02
2025-03-08,Khé?,Rauw Alejandro,Rauw Alejandro,3:26
2025-03-08,I Miss You,Beéle,Beéle,2:53
2025-03-08,Die With A Smile,Lady Gaga,Lady Gaga,4:11
2025-03-08,Moscow Mule,Bad Bunny,Bad Bunny,4:05
