Date,Song Title,Artist,Album,Duration
2025-03-08,Lilac,Mrs. GREEN APPLE,Mrs. GREEN APPLE,4:48
2025-03-08,Kaiju,sakanaction,sakanaction,4:12
2025-03-08,Rock This Party,timelesz,timelesz,3:45
2025-03-08,Run,timelesz,timelesz,3:55
2025-03-08,Darling,Mrs. GREEN APPLE,Mrs. GREEN APPLE,4:40
2025-03-08,Soranji,Mrs. GREEN APPLE,Mrs. GREEN APPLE,5:44
2025-03-08,BOW AND ARROW,Kenshi Yonezu,Kenshi Yonezu,2:55
2025-03-08,APT.,ROSÉ,ROSÉ,2:49
2025-03-08,Que Sera Sera,Mrs. GREEN APPLE,Mrs. GREEN APPLE,4:32
2025-03-08,Gyutto,timelesz,timelesz,3:40
2025-03-08,Can't we just be cute? -Kawaii Dakejya Damedesuka?,CUTIE STREET,CUTIE STREET,4:11
2025-03-08,Miss Luxury,YZERR,YZERR,4:33
2025-03-08,Jinseiyugi,timelesz,timelesz,3:01
2025-03-08,Bokuno Koto,Mrs. GREEN APPLE,Mrs. GREEN APPLE,5:21
2025-03-08,Bitter Vacances,Mrs. GREEN APPLE,Mrs. GREEN APPLE,3:18
2025-03-08,Ao To Natsu,Mrs. GREEN APPLE,Mrs. GREEN APPLE,4:30
2025-03-08,Kaiju no Hanauta,VAUNDY,VAUNDY,3:44
2025-03-08,Tenbyouno Uta (feat. Sonoko Inoue),Mrs. GREEN APPLE,Mrs. GREEN APPLE,5:07
2025-03-08,masshiro (pure white),Fujii Kaze,Fujii Kaze,4:54
2025-03-08,Plazma,Kenshi Yonezu,Kenshi Yonezu,3:00
2025-03-08,doppelgänger,Creepy Nuts,Creepy Nuts,2:47
2025-03-08,Otonoke,Creepy Nuts,Creepy Nuts,3:05
2025-03-08,Ikuokukonen,Omoinotake,Omoinotake,4:36
2025-03-08,Drop,HANA,HANA,2:28
2025-03-08,Dance Hall,Mrs. GREEN APPLE,Mrs. GREEN APPLE,3:23
