City,Temperature (°C),Feels Like (°C),Weather,Description,Humidity (%),Pressure (hPa),Wind Speed (m/s)
accra,27.05,30.77,Clouds,few clouds,89,1009,3.6
almaty,4.85,3.71,Clouds,broken clouds,65,1014,1.55
auckland,21.02,20.93,Clouds,broken clouds,67,1021,7.2
austin,8.77,6.2,Clear,clear sky,77,1019,4.63
bangalore,31.2,29.68,Clouds,overcast clouds,27,1010,3.09
bangkok,34.7,38.54,Clouds,few clouds,46,1010,3.47
barcelona,12.47,11.84,Mist,mist,79,999,2.06
beijing,15.92,14.22,Clear,clear sky,25,1020,4.89
berlin,5.91,4.2,Clear,clear sky,73,1009,2.24
birmingham,4.89,2.71,Clouds,few clouds,87,1004,2.57
bogotá,11.99,11.86,Fog,fog,100,1018,2.06
bordeaux,10.21,9.71,Rain,moderate rain,93,996,4.12
brisbane,22.61,23.51,Rain,moderate rain,99,1015,6.69
budapest,8.24,7.09,Clear,clear sky,55,1014,2.06
buenos_aires,14.33,13.8,Clear,clear sky,76,1024,4.92
busan,11.91,10.2,Clouds,few clouds,40,1029,4.63
calgary,2.0,2.0,Clouds,scattered clouds,68,1006,0.0
cape_town,18.8,18.98,Clouds,broken clouds,86,1013,1.79
chicago,4.37,1.33,Clear,clear sky,67,1016,3.6
ciudad_de_mexico,17.85,16.55,Clear,clear sky,33,1015,2.06
cologne,6.41,5.33,Clouds,few clouds,73,1007,1.69
copenhagen,4.24,1.53,Clouds,broken clouds,87,1014,3.09
dallas,7.03,3.6,Mist,mist,94,1017,5.66
delhi,29.07,27.82,Haze,haze,28,1013,3.09
denver,0.99,0.99,Clear,clear sky,50,1021,0.89
detroit,1.76,-3.05,Clouds,overcast clouds,74,1013,5.66
dubai,29.01,28.0,Clear,clear sky,32,1013,4.12
dublin,7.15,3.97,Clouds,few clouds,91,1004,5.14
durban,24.45,24.65,Clear,clear sky,65,1013,4.42
edmonton,1.25,1.25,Clouds,overcast clouds,72,1009,0.45
frankfurt,5.94,3.24,Clear,clear sky,76,1008,3.6
fukuoka,13.86,12.53,Clouds,few clouds,47,1028,6.17
glasgow,3.74,1.87,Clouds,broken clouds,92,1008,2.03
guadalajara,18.88,17.5,Clear,clear sky,26,1017,1.54
guangzhou,21.92,21.29,Clear,clear sky,43,1020,1.36
guatemala_city,17.22,17.53,Mist,mist,97,1016,1.34
hamburg,4.01,3.05,Clear,clear sky,78,1010,1.34
honolulu,23.52,23.76,Clouds,scattered clouds,70,1024,7.2
houston,13.07,12.65,Clouds,overcast clouds,85,1014,9.77
istanbul,7.05,6.24,Mist,mist,87,1015,1.54
jakarta,32.07,39.07,Rain,light rain,66,1008,2.57
johannesburg,18.04,18.12,Clear,clear sky,85,1017,0.93
kingston,24.9,25.61,Clouds,few clouds,83,1015,2.06
kuala_lumpur,33.86,37.76,Clouds,few clouds,49,1009,2.57
kyiv,8.52,8.52,Clouds,broken clouds,59,1019,0.45
kyoto,11.17,9.49,Clear,clear sky,44,1029,5.36
lagos,28.12,33.95,Clouds,few clouds,89,1009,2.06
lima,21.21,21.68,Clouds,few clouds,88,1013,3.6
liverpool,6.67,3.85,Clear,clear sky,81,1005,4.12
london,7.46,4.82,Clouds,broken clouds,81,1003,4.12
