Date,Song Title,Artist,Album,Duration
2025-03-09,NOKIA,Drake,Drake,4:01
2025-03-09,Anxiety,Doechii,Doechii,4:09
2025-03-09,Sports car,Tate McRae,Tate McRae,2:45
2025-03-09,Die With A Smile,Lady Gaga,Lady Gaga,4:11
2025-03-09,Abracadabra,Lady Gaga,Lady Gaga,3:43
2025-03-09,Revolving door,Tate McRae,Tate McRae,3:00
2025-03-09,Pink Pony Club,Chappell Roan,Chappell Roan,4:18
2025-03-09,Vanish Into You,Lady Gaga,Lady Gaga,4:04
2025-03-09,luther,Kendrick Lamar,Kendrick Lamar,2:57
2025-03-09,DIE TRYING,PARTYNEXTDOOR,PARTYNEXTDOOR,3:15
2025-03-09,Not Like Us,Kendrick Lamar,Kendrick Lamar,4:34
2025-03-09,Garden Of Eden,Lady Gaga,Lady Gaga,3:59
2025-03-09,APT.,ROSÉ,ROSÉ,2:49
2025-03-09,That’s So True,Gracie Abrams,Gracie Abrams,2:46
2025-03-09,ANXIETY (feat. Doechii),Sleepy Hallow,Sleepy Hallow,2:28
2025-03-09,Timeless,The Weeknd,The Weeknd,4:16
2025-03-09,SOMEBODY LOVES ME,PARTYNEXTDOOR,PARTYNEXTDOOR,3:02
2025-03-09,Beautiful Things,Benson Boone,Benson Boone,3:00
2025-03-09,WILDFLOWER,Billie Eilish,Billie Eilish,4:21
2025-03-09,A Bar Song (Tipsy),Shaboozey,Shaboozey,2:51
2025-03-09,BIRDS OF A FEATHER,Billie Eilish,Billie Eilish,3:30
2025-03-09,Messy,Lola Young,Lola Young,4:44
2025-03-09,DENIAL IS A RIVER,Doechii,Doechii,2:39
2025-03-09,tv off (feat. Lefty Gunplay),Kendrick Lamar,Kendrick Lamar,3:40
2025-03-09,Dear god,Tate McRae,Tate McRae,2:51
