Date,Song Title,Artist,Album,Duration
2025-03-09,luther,Kendrick Lamar,Kendrick Lamar,2:57
2025-03-09,NOKIA,Drake,Drake,4:01
2025-03-09,tv off (feat. Lefty Gunplay),Kendrick Lamar,Kendrick Lamar,3:40
2025-03-09,Loco,Neton Vega,Neton Vega,3:06
2025-03-09,squabble up,Kendrick Lamar,Kendrick Lamar,2:37
2025-03-09,Not Like Us,Kendrick Lamar,Kendrick Lamar,4:34
2025-03-09,ME JALO,Fuerza Regida,Fuerza Regida,3:32
2025-03-09,Die With A Smile,Lady Gaga,Lady Gaga,4:11
2025-03-09,Por Esos Ojos,Fuerza Regida,Fuerza Regida,3:08
2025-03-09,TATTOO,Tito Double P,Tito Double P,2:47
2025-03-09,Morena,Neton Vega,Neton Vega,3:13
2025-03-09,30 For 30 (with Kendrick Lamar),SZA,SZA,4:38
2025-03-09,7 Días,Gabito Ballesteros,Gabito Ballesteros,3:00
2025-03-09,DtMF,Bad Bunny,Bad Bunny,3:57
2025-03-09,DOS DÍAS,Tito Double P,Tito Double P,2:33
2025-03-09,Mi Vida Mi Muerte,Neton Vega,Neton Vega,2:55
2025-03-09,DIE TRYING,PARTYNEXTDOOR,PARTYNEXTDOOR,3:15
2025-03-09,M&M,Neton Vega,Neton Vega,2:46
2025-03-09,NADIE,Tito Double P,Tito Double P,3:17
2025-03-09,Te Quería Ver,Alemán,Alemán,2:56
2025-03-09,Tu Boda,Óscar Maydon,Óscar Maydon,3:45
2025-03-09,APT.,ROSÉ,ROSÉ,2:49
2025-03-09,Anxiety,Doechii,Doechii,4:09
2025-03-09,Timeless,The Weeknd,The Weeknd,4:16
2025-03-09,Abracadabra,Lady Gaga,Lady Gaga,3:43
