Date,Song Title,Artist,Album,Duration
2025-03-10,La Plena (W Sound 05),W Sound,W Sound,2:30
2025-03-10,BAILE INoLVIDABLE,Bad Bunny,Bad Bunny,6:07
2025-03-10,capaz (merengueton),Alleh,Alleh,2:53
2025-03-10,Mi Refe,Beéle,Beéle,2:39
2025-03-10,NUEVAYoL,Bad Bunny,Bad Bunny,3:03
2025-03-10,DtMF,Bad Bunny,Bad Bunny,3:57
2025-03-10,APT.,ROSÉ,ROSÉ,2:49
2025-03-10,Die With A Smile,Lady Gaga,Lady Gaga,4:11
2025-03-10,Vanish Into You,Lady Gaga,Lady Gaga,4:04
2025-03-10,Abracadabra,Lady Gaga,Lady Gaga,3:43
2025-03-10,Si Antes Te Hubiera Conocido,KAROL G,KAROL G,3:15
2025-03-10,Garden Of Eden,Lady Gaga,Lady Gaga,3:59
2025-03-10,sobelove,Beéle,Beéle,2:11
2025-03-10,Qué Pasaría...,Rauw Alejandro,Rauw Alejandro,3:11
2025-03-10,Angelito,Bad Gyal,Bad Gyal,2:10
2025-03-10,GRAN VÍA,Quevedo,Quevedo,3:33
2025-03-10,Te Regalo,Rels B,Rels B,2:27
2025-03-10,Not Like Us,Kendrick Lamar,Kendrick Lamar,4:34
2025-03-10,Exótica,Gabry Ponte,Gabry Ponte,2:01
2025-03-10,NINFO,JC Reyes,JC Reyes,3:04
2025-03-10,Messy,Lola Young,Lola Young,4:44
2025-03-10,Corazón Puro,Rvfv,Rvfv,3:46
2025-03-10,ILY,Kapo,Kapo,3:36
2025-03-10,Anxiety,Doechii,Doechii,4:09
2025-03-10,Tití Me Preguntó,Bad Bunny,Bad Bunny,4:03
