Date,Song Title,Artist,Album,Duration
2025-03-10,APT.,ROSÉ,ROSÉ,2:49
2025-03-10,Die With A Smile,Lady Gaga,Lady Gaga,4:11
2025-03-10,That’s So True,Gracie Abrams,Gracie Abrams,2:46
2025-03-10,Pink Pony Club,Chappell Roan,Chappell Roan,4:18
2025-03-10,Messy,Lola Young,Lola Young,4:44
2025-03-10,Wackelkontakt,Oimara,Oimara,2:48
2025-03-10,Perfect,Ed Sheeran,Ed Sheeran,4:23
2025-03-10,Espresso,Sabrina Carpenter,Sabrina Carpenter,2:55
2025-03-10,New Rules,Dua Lipa,Dua Lipa,3:29
2025-03-10,Taste,Sabrina Carpenter,Sabrina Carpenter,2:37
2025-03-10,Abracadabra,Lady Gaga,Lady Gaga,3:43
2025-03-10,A Bar Song (Tipsy),Shaboozey,Shaboozey,2:51
2025-03-10,Bad Dreams,Teddy Swims,Teddy Swims,3:04
2025-03-10,Bed Chem,Sabrina Carpenter,Sabrina Carpenter,2:51
2025-03-10,Baby Shark,Pinkfong,Pinkfong,1:36
2025-03-10,Twinkle Twinkle Little Star,Kidzone,Kidzone,2:42
2025-03-10,Nice To Meet You,Myles Smith,Myles Smith,2:56
2025-03-10,Beautiful Things,Benson Boone,Benson Boone,3:00
2025-03-10,Stargazing,Myles Smith,Myles Smith,2:52
2025-03-10,Shape of You,Ed Sheeran,Ed Sheeran,3:53
2025-03-10,Castle on the Hill,Ed Sheeran,Ed Sheeran,4:21
2025-03-10,Cruel Summer,Taylor Swift,Taylor Swift,2:58
2025-03-10,IDGAF,Dua Lipa,Dua Lipa,3:37
2025-03-10,Please Please Please,Sabrina Carpenter,Sabrina Carpenter,3:06
2025-03-10,Not Like Us,Kendrick Lamar,Kendrick Lamar,4:34
