Date,Song Title,Artist,Album,Duration
2025-03-10,NOKIA,Drake,Drake,4:01
2025-03-10,Pink Pony Club,Chappell Roan,Chappell Roan,4:18
2025-03-10,Sports car,Tate McRae,Tate McRae,2:45
2025-03-10,Not Like Us,Kendrick Lamar,Kendrick Lamar,4:34
2025-03-10,Anxiety,Doechii,Doechii,4:09
2025-03-10,luther,Kendrick Lamar,Kendrick Lamar,2:57
2025-03-10,I'm The Problem,Morgan Wallen,Morgan Wallen,2:57
2025-03-10,A Bar Song (Tipsy),Shaboozey,Shaboozey,2:51
2025-03-10,Die With A Smile,Lady Gaga,Lady Gaga,4:11
2025-03-10,That’s So True,Gracie Abrams,Gracie Abrams,2:46
2025-03-10,Revolving door,Tate McRae,Tate McRae,3:00
2025-03-10,APT.,ROSÉ,ROSÉ,2:49
2025-03-10,ANXIETY (feat. Doechii),Sleepy Hallow,Sleepy Hallow,2:28
2025-03-10,I Had Some Help (feat. Morgan Wallen),Post Malone,Post Malone,2:58
2025-03-10,Beautiful Things,Benson Boone,Benson Boone,3:00
2025-03-10,Abracadabra,Lady Gaga,Lady Gaga,3:43
2025-03-10,DIE TRYING,PARTYNEXTDOOR,PARTYNEXTDOOR,3:15
2025-03-10,tv off (feat. Lefty Gunplay),Kendrick Lamar,Kendrick Lamar,3:40
2025-03-10,Ordinary,Alex Warren,Alex Warren,3:06
2025-03-10,Timeless,The Weeknd,The Weeknd,4:16
2025-03-10,Love Somebody,Morgan Wallen,Morgan Wallen,3:24
2025-03-10,Smile,Morgan Wallen,Morgan Wallen,3:44
2025-03-10,Messy,Lola Young,Lola Young,4:44
2025-03-10,Dear god,Tate McRae,Tate McRae,2:51
2025-03-10,Sailor Song,Gigi Perez,Gigi Perez,3:31
