Date,Song Title,Artist,Album,Duration
2025-03-10,BAILE INoLVIDABLE,Bad Bunny,Bad Bunny,6:07
2025-03-10,DtMF,Bad Bunny,Bad Bunny,3:57
2025-03-10,Te Quería Ver,Alemán,Alemán,2:56
2025-03-10,7 Días,Gabito Ballesteros,Gabito Ballesteros,3:00
2025-03-10,TATTOO,Tito Double P,Tito Double P,2:47
2025-03-10,NADIE,Tito Double P,Tito Double P,3:17
2025-03-10,Por Esos Ojos,Fuerza Regida,Fuerza Regida,3:08
2025-03-10,ME JALO,Fuerza Regida,Fuerza Regida,3:32
2025-03-10,Loco,Neton Vega,Neton Vega,3:06
2025-03-10,El Mayor de los Ranas,Victor Valverde,Victor Valverde,2:52
2025-03-10,ROSONES,Tito Double P,Tito Double P,2:57
2025-03-10,CORAZON PARTÍO (Apple Music Sessions),Tito Double P,Tito Double P,3:06
2025-03-10,DOS DÍAS,Tito Double P,Tito Double P,2:33
2025-03-10,Tu Boda,Óscar Maydon,Óscar Maydon,3:45
2025-03-10,EL LOKERON,Tito Double P,Tito Double P,2:25
2025-03-10,Presidente,Gabito Ballesteros,Gabito Ballesteros,3:01
2025-03-10,HOLLYWOOD,Peso Pluma,Peso Pluma,4:44
2025-03-10,Morena,Neton Vega,Neton Vega,3:13
2025-03-10,Die With A Smile,Lady Gaga,Lady Gaga,4:11
2025-03-10,Abracadabra,Lady Gaga,Lady Gaga,3:43
2025-03-10,VOY A LLeVARTE PA PR,Bad Bunny,Bad Bunny,2:36
2025-03-10,Qué Pasaría...,Rauw Alejandro,Rauw Alejandro,3:11
2025-03-10,RUBICON,Peso Pluma,Peso Pluma,3:58
2025-03-10,Vanish Into You,Lady Gaga,Lady Gaga,4:04
2025-03-10,LA PATRULLA,Peso Pluma,Peso Pluma,2:10
